k,m,a,t,n,n_symbol_copied,avg_info,n_copies,avg_len,avg_acc,time
8,0,1,0.5,1,copy:,2.05446,5615942,4.02969,0.359202,12
8,0,1,0.5,4,copy:,1.95501,2467534,9.17334,0.400046,13
8,0,1,0.5,8,copy:,1.92317,1682160,13.4567,0.42274,14
8,0,1,0.7,1,copy:,2.0375,22602773,1,0.448447,30
8,0,1,0.7,4,copy:,1.41914,22602773,1,0.578871,63
8,0,1,0.7,8,copy:,1.17131,22602773,1,0.631143,106
8,0,1,0.8,1,copy:,2.0375,22602773,1,0.448447,29
8,0,1,0.8,4,copy:,1.41914,22602773,1,0.578871,62
8,0,1,0.8,8,copy:,1.17131,22602773,1,0.631143,106
8,0,0.1,0.5,1,copy:,2.20852,5615942,4.02969,0.171097,12
8,0,0.1,0.5,4,copy:,2.12115,2467534,9.17334,0.302896,13
8,0,0.1,0.5,8,copy:,2.06714,1682160,13.4567,0.368205,14
8,0,0.1,0.7,1,copy:,2.25858,10772506,2.09908,0.218827,16
8,0,0.1,0.7,4,copy:,2.15022,6353207,3.55946,0.416694,23
8,0,0.1,0.7,8,copy:,2.05285,4848779,4.66397,0.513679,28
8,0,0.1,0.8,1,copy:,2.26603,12113541,1.8663,0.22471,18
8,0,0.1,0.8,4,copy:,2.13881,7544467,2.99672,0.430489,25
8,0,0.1,0.8,8,copy:,2.01787,5973226,3.78506,0.535793,34
8,0,0.01,0.5,1,copy:,2.43173,5615942,4.02969,0.117184,11
8,0,0.01,0.5,4,copy:,2.35799,2467534,9.17334,0.277283,12
8,0,0.01,0.5,8,copy:,2.26883,1682160,13.4567,0.355248,14
8,0,0.01,0.7,1,copy:,2.68911,10772506,2.09908,0.167492,17
8,0,0.01,0.7,4,copy:,2.75737,6353207,3.55946,0.396701,21
8,0,0.01,0.7,8,copy:,2.63123,4848779,4.66397,0.507596,29
8,0,0.01,0.8,1,copy:,2.75495,12113541,1.8663,0.17383,18
8,0,0.01,0.8,4,copy:,2.86004,7544467,2.99672,0.411255,27
8,0,0.01,0.8,8,copy:,2.72879,5973226,3.78506,0.530836,32
8,1,1,0.5,1,copy:,2.02964,3836127,5.90178,0.331281,10
8,1,1,0.5,4,copy:,1.94365,1982792,11.4204,0.410416,12
8,1,1,0.5,8,copy:,1.91427,1428332,15.8542,0.434354,13
8,1,1,0.7,1,copy:,1.93959,7644281,2.95978,0.3832,14
8,1,1,0.7,4,copy:,1.72932,5990902,3.77675,0.50898,22
8,1,1,0.7,8,copy:,1.64415,5047986,4.48224,0.549835,29
8,1,1,0.8,1,copy:,2.02938,11309996,2,0.41953,18
8,1,1,0.8,4,copy:,1.63554,11309996,2,0.570058,38
8,1,1,0.8,8,copy:,1.40365,11309996,2,0.628343,62
8,1,0.1,0.5,1,copy:,2.16237,3836127,5.90178,0.206195,10
8,1,0.1,0.5,4,copy:,2.11107,1982792,11.4204,0.361578,12
8,1,0.1,0.5,8,copy:,2.05162,1428332,15.8542,0.406958,14
8,1,0.1,0.7,1,copy:,2.18029,7425685,3.047,0.280223,14
8,1,0.1,0.7,4,copy:,2.18245,5655547,4.00085,0.49539,20
8,1,0.1,0.7,8,copy:,2.07368,4654999,4.86084,0.555657,29
8,1,0.1,0.8,1,copy:,2.18109,8263945,2.73751,0.287016,15
8,1,0.1,0.8,4,copy:,2.17629,6657475,3.39817,0.509005,24
8,1,0.1,0.8,8,copy:,2.04342,5709555,3.96235,0.577614,34
8,1,0.01,0.5,1,copy:,2.40594,3836127,5.90178,0.182137,9
8,1,0.01,0.5,4,copy:,2.35466,1982792,11.4204,0.353052,12
8,1,0.01,0.5,8,copy:,2.24343,1428332,15.8542,0.402566,15
8,1,0.01,0.7,1,copy:,2.65337,7425685,3.047,0.260054,15
8,1,0.01,0.7,4,copy:,2.87235,5655547,4.00085,0.493294,21
